Sample_ID,Data,Location,Depth,Phosphate,Nitrate
S_1,MOTS,STW,SUR,0.4,4.9
S_2,MOTS,SAW,SUR,0.99,11.5
S_3,MOTS,SAW,MES,1.19,16.7
S_4,MOTS,STW,SUR,0.2,0
S_5,MOTS,SAW,SUR,0.98,11
S_6,MOTS,SAW,MES,1.22,16.6
S_7,MOTS,STW,SUR,0.68,7.9
S_8,MOTS,SAW,SUR,0.88,10.3
S_9,MOTS,SAW,MES,1.54,22.1
S_10,MOTS,STW,SUR,0.49,5.09
S_11,MOTS,SAW,SUR,0.92,11.35
S_12,MOTS,SAW,MES,1.35,18.21
S_13,MOTS,STW,SUR,0.51,5.2
S_14,MOTS,SAW,SUR,1.02,13.4
S_16,MOTS,STW,SUR,0.3,2.9
S_17,MOTS,SAW,SUR,0.67,10.6
S_18,MOTS,SAW,MES,1.26,20.4
S_19,MOTS,SAW,SUR,0.58,8.4
S_20,MOTS,SAW,SUR,0.95,14.3
S_21,MOTS,SAW,MES,1.48,22.7
SOC_84_05M,Tara,SOC,SUR,1.72,25.3
SOC_85_05M,Tara,SOC,SUR,2.11,28.5
SOC_85_90M,Tara,SOC,DCM,2.31,31
SOC_85_790M,Tara,SOC,MES,2.61,36.37
RED_31_05M,Tara,RED,SUR,0.02,0.03
RED_32_05M,Tara,RED,SUR,0.02,0
RED_33_05M,Tara,RED,SUR,0.05,0
RED_34_05M,Tara,RED,SUR,0.19,0.03
RED_32_80M,Tara,RED,DCM,0.03,0.01
RED_34_60M,Tara,RED,DCM,0.09,0.64
PSW_112_05M,Tara,PSW,SUR,0.14,0.03
PSW_122_05M,Tara,PSW,SUR,0.57,5.46
PSW_123_05M,Tara,PSW,SUR,0.53,4.9
PSW_124_05M,Tara,PSW,SUR,0.63,6.18
PSW_125_05M,Tara,PSW,SUR,0.56,3.73
PSW_128_05M,Tara,PSW,SUR,0.54,5.08
PSW_128_40M,Tara,PSW,DCM,0.55,5.26
PSW_112_696M,Tara,PSW,MES,2.15,31.46
PSW_122_600M,Tara,PSW,MES,2.43,34.63
PSE_93_05M,Tara,PSE,SUR,0.52,0.02
PSE_94_05M,Tara,PSE,SUR,0.28,0.03
PSE_96_05M,Tara,PSE,SUR,0.16,0.02
PSE_98_05M,Tara,PSE,SUR,0.2,0.05
PSE_99_05M,Tara,PSE,SUR,0.29,0.04
PSE_100_05M,Tara,PSE,SUR,0.68,6.2
PSE_102_05M,Tara,PSE,SUR,1,12.6
PSE_109_05M,Tara,PSE,SUR,0.27,0.9
PSE_110_05M,Tara,PSE,SUR,0.75,8.2
PSE_111_05M,Tara,PSE,SUR,0.5,2.68
PSE_93_35M,Tara,PSE,DCM,1.07,7.55
PSE_100_50M,Tara,PSE,DCM,0.78,5.7
PSE_102_40M,Tara,PSE,DCM,1.86,24.4
PSE_109_30M,Tara,PSE,DCM,0.5,4.6
PSE_110_50M,Tara,PSE,DCM,0.93,10.7
PSE_111_90M,Tara,PSE,DCM,0.44,0.93
PSE_98_488M,Tara,PSE,MES,2.02,27.29
PSE_102_480M,Tara,PSE,MES,2.85,39.2
PSE_109_380,Tara,PSE,MES,2.58,35.3
PSE_110_380M,Tara,PSE,MES,2.8,38.1
PSE_111_350M,Tara,PSE,MES,2.73,34.61
PON_132_05M,Tara,PON,SUR,0.01,0.01
PON_133_05M,Tara,PON,SUR,0.29,0.02
PON_137_05M,Tara,PON,SUR,0.46,2.44
PON_138_05M,Tara,PON,SUR,0.16,0
PON_140_05M,Tara,PON,SUR,0.08,0
PON_133_45M,Tara,PON,DCM,0.46,1.3
PON_137_40M,Tara,PON,DCM,0.88,6.05
PON_138_60M,Tara,PON,DCM,1.11,12.9
PON_132_550M,Tara,PON,MES,1.22,17.49
PON_133_650M,Tara,PON,MES,3.29,44.24
PON_137_375M,Tara,PON,MES,2.95,34.55
PON_138_450M,Tara,PON,MES,3.16,36.22
MED_18_05M,Tara,MED,SUR,0.03,0.12
MED_23_05M,Tara,MED,SUR,0.01,0.04
MED_25_05M,Tara,MED,SUR,0.01,0.03
MED_30_05M,Tara,MED,SUR,0,0.05
MED_18_60M,Tara,MED,DCM,0.01,0.02
MED_25_50M,Tara,MED,DCM,0.07,0.15
MED_30_70M,Tara,MED,DCM,0,0.02
IOS_52_05M,Tara,IOS,SUR,0.12,0
IOS_57_05M,Tara,IOS,SUR,0,0
IOS_64_05M,Tara,IOS,SUR,0.08,0
IOS_52_75M,Tara,IOS,DCM,0.18,0.47
IOS_58_66M,Tara,IOS,DCM,0,0.06
IOS_64_65M,Tara,IOS,DCM,0.08,0.02
IOS_64_1000M,Tara,IOS,MES,1.12,15.24
ION_36_05M,Tara,ION,SUR,0.37,0.13
ION_38_05M,Tara,ION,SUR,0.32,0.06
ION_41_05M,Tara,ION,SUR,0.14,0.09
ION_42_05M,Tara,ION,SUR,0.08,0.03
ION_45_05M,Tara,ION,SUR,1.94,28.64
ION_48_05M,Tara,ION,SUR,0.08,0.06
ION_36_17M,Tara,ION,DCM,0.51,2.08
ION_38_25M,Tara,ION,DCM,0.42,1.86
ION_39_25M,Tara,ION,DCM,0.26,0.09
ION_41_60M,Tara,ION,DCM,0.34,0.49
ION_42_80M,Tara,ION,DCM,0.34,1.39
ION_38_340M,Tara,ION,MES,2.64,23.43
ION_39_270M,Tara,ION,MES,2.64,21.22
ASW_72_05M,Tara,ASW,SUR,0.1,0.02
ASW_76_05M,Tara,ASW,SUR,0.06,0
ASW_78_05M,Tara,ASW,SUR,0,0.02
ASW_82_05M,Tara,ASW,SUR,1.3,18.15
ASW_72_100M,Tara,ASW,DCM,0.14,0.04
ASW_82_40M,Tara,ASW,DCM,1.42,19.07
ASW_72_800M,Tara,ASW,MES,2.62,36.98
ASW_76_800M,Tara,ASW,MES,0.94,12.08
ASW_78_800M,Tara,ASW,MES,1.95,28.21
ASE_66_05M,Tara,ASE,SUR,0.34,3.34
ASE_67_05M,Tara,ASE,SUR,1.02,7.09
ASE_68_05M,Tara,ASE,SUR,0.23,1.3
ASE_70_05M,Tara,ASE,SUR,0.36,0.99
ASE_66_30M,Tara,ASE,DCM,0.37,3.23
ASE_68_50M,Tara,ASE,DCM,0.23,1.08
ASE_68_700M,Tara,ASE,MES,1.53,22.08
ASE_70_800M,Tara,ASE,MES,2.52,36.73
ANW_141_05M,Tara,ANW,SUR,0.01,0
ANW_142_05M,Tara,ANW,SUR,0,0.05
ANW_145_05M,Tara,ANW,SUR,0.35,4.38
ANW_146_05M,Tara,ANW,SUR,0.02,0.74
ANW_148_05M,Tara,ANW,SUR,0,0.15
ANW_149_05M,Tara,ANW,SUR,0.06,0.68
ANW_142_640M,Tara,ANW,MES,1.22,20.25
ANW_145_590M,Tara,ANW,MES,1.47,21.5
ANW_146_640M,Tara,ANW,MES,1.31,20.03
ANW_148_250M,Tara,ANW,MES,0.18,4.13
ANW_149_740M,Tara,ANW,MES,1.36,21.11
ANE_150_05M,Tara,ANE,SUR,0.01,0.17
ANE_151_05M,Tara,ANE,SUR,0.01,0.02
ANE_152_05M,Tara,ANE,SUR,0.16,2.16
ANE_150_40M,Tara,ANE,DCM,0,0.17
ANE_151_80M,Tara,ANE,DCM,0.01,0.05
ANE_152_800M,Tara,ANE,MES,1.12,18.03